Codigo Item;Descricao Item;Tipo Unidade;Codigo Cor;Descricao Cor;Tam;Qtd Mini Fabricas;Mini Fabricas Destino;Total Necessidade;Necessidade por Mini (deve|saldo|origem)
25567;AVESSO VELUR;;3;PRETO;;7,0;Mini Fabrica - 6 | Mini Fabrica - 9 | Mini Fabrica - 10 | Mini Fabrica - 19 | Mini Fabrica - 30 | Mini Fabrica - 38 | Mini Fabrica - 40;138,0341;Mini Fabrica - 6: deve=-24.88765 | saldo=32 | origem=substituto || Mini Fabrica - 9: deve=-58.18175 | saldo=32 | origem=substituto || Mini Fabrica - 10: deve=-22.8924 | saldo=32 | origem=substituto || Mini Fabrica - 19: deve=-3.7911 | saldo=32 | origem=substituto || Mini Fabrica - 30: deve=-13.87 | saldo=32 | origem=substituto || Mini Fabrica - 38: deve=-13.4112 | saldo=32 | origem=substituto || Mini Fabrica - 40: deve=-0.1716 | saldo=32 | origem=substituto
25567;AVESSO VELUR;;35313;CREME 516;;4,0;Mini Fabrica - 6 | Mini Fabrica - 9 | Mini Fabrica - 19 | Mini Fabrica - 30;63,8734;Mini Fabrica - 6: deve=-17.86419 | saldo=94 | origem=substituto || Mini Fabrica - 9: deve=-12.11184 | saldo=94 | origem=substituto || Mini Fabrica - 19: deve=-3.698 | saldo=94 | origem=substituto || Mini Fabrica - 30: deve=-30.1994 | saldo=94 | origem=substituto
56577;FORRO MILANO PU 0.7(B O/I 2014);;72374;CAFE 856;;2,0;Mini Fabrica - 6 | Mini Fabrica - 50;11,0918;Mini Fabrica - 6: deve=-10.0 | saldo=134.00000 | origem=nacional || Mini Fabrica - 50: deve=-1.0918 | saldo=134.00000 | origem=nacional
58623;FORRO MILANO PU 0.7(B O/I 2014)+FIL;;29452;BEGE 435;;4,0;Mini Fabrica - 6 | Mini Fabrica - 19 | Mini Fabrica - 38 | Mini Fabrica - 68;41,8772;Mini Fabrica - 6: deve=-14.2836 | saldo=25.00000 | origem=nacional || Mini Fabrica - 19: deve=-0.6608 | saldo=25.00000 | origem=nacional || Mini Fabrica - 38: deve=-25.5936 | saldo=25.00000 | origem=nacional || Mini Fabrica - 68: deve=-0.12 | saldo=25.00000 | origem=nacional
67244;NAPA TURIM PU 1.0 (B P/V 15/16);;29452;BEGE 435;;4,0;Mini Fabrica - 6 | Mini Fabrica - 16 | Mini Fabrica - 19 | Mini Fabrica - 50;37,555;Mini Fabrica - 6: deve=-19.9496 | saldo=25.00000 | origem=nacional || Mini Fabrica - 16: deve=-5.4808 | saldo=25.00000 | origem=nacional || Mini Fabrica - 19: deve=-2.4812 | saldo=25.00000 | origem=nacional || Mini Fabrica - 50: deve=-9.6434 | saldo=25.00000 | origem=nacional
67244;NAPA TURIM PU 1.0 (B P/V 15/16);;52531;NUDE 658;;3,0;Mini Fabrica - 6 | Mini Fabrica - 9 | Mini Fabrica - 19;44,5613;Mini Fabrica - 6: deve=-7.8868 | saldo=120 | origem=substituto || Mini Fabrica - 9: deve=-19.19668 | saldo=120 | origem=substituto || Mini Fabrica - 19: deve=-17.4778 | saldo=120 | origem=substituto
84629;VERNIZ PREMIUM PU 1.0 (M/MD O/I 20;;29498;BEGE 435/CRU;;2,0;Mini Fabrica - 6 | Mini Fabrica - 9;2,0;Mini Fabrica - 6: deve=-0.0376 | saldo=13.40000 | origem=nacional || Mini Fabrica - 9: deve=-0.711 | saldo=13.40000 | origem=nacional
108850;NAPA PELE STRECH PU 1.0 (MD O/I 2;;15745;PRETO 01;;2,0;Mini Fabrica - 6 | Mini Fabrica - 38;24,3944;Mini Fabrica - 6: deve=-11.05036 | saldo=120 | origem=substituto || Mini Fabrica - 38: deve=-13.344 | saldo=120 | origem=substituto
149602;CAMURCA STRECH DUO + VELVET (;;15787;PRETO 01/PRET;;2,0;Mini Fabrica - 6 | Mini Fabrica - 38;43,8584;Mini Fabrica - 6: deve=-9.3936 | saldo=42.70000 | origem=nacional || Mini Fabrica - 38: deve=-34.4648 | saldo=42.70000 | origem=nacional
157666;TECIDO ADTERM CH 180 C CONFOR;;15745;PRETO 01;;2,0;Mini Fabrica - 6 | Mini Fabrica - 19;83,1328;Mini Fabrica - 6: deve=-21.8776 | saldo=60.00000 | origem=nacional || Mini Fabrica - 19: deve=-61.2552 | saldo=60.00000 | origem=nacional
187451;NYLON KANSAS(ACT O/I22)+ESPUMA;;106860;AVELA 1248/BR;;2,0;Mini Fabrica - 6 | Mini Fabrica - 26;11,0;Mini Fabrica - 6: deve=-9.368 | saldo=17.00000 | origem=nacional || Mini Fabrica - 26: deve=-1.632 | saldo=17.00000 | origem=nacional
202378;NAPA ESSELENCE PU 0.9+SARJA 70;;35738;BRANCO OFF;;2,0;Mini Fabrica - 6 | Mini Fabrica - 26;14,472;Mini Fabrica - 6: deve=-10.392 | saldo=20.00000 | origem=nacional || Mini Fabrica - 26: deve=-4.08 | saldo=20.00000 | origem=nacional
25567;AVESSO VELUR;;23041;CARAMELO 310;;3,0;Mini Fabrica - 9 | Mini Fabrica - 30 | Mini Fabrica - 38;31,3015;Mini Fabrica - 9: deve=-0.7559 | saldo=40 | origem=substituto || Mini Fabrica - 30: deve=-19.3067 | saldo=40 | origem=substituto || Mini Fabrica - 38: deve=-10.9948 | saldo=40 | origem=substituto
47527;FORRO FIORI (V P/V 12/13);;26926;CAMEL 408;;2,0;Mini Fabrica - 9 | Mini Fabrica - 50;38,216;Mini Fabrica - 9: deve=-9.0825 | saldo=50 | origem=substituto || Mini Fabrica - 50: deve=-29.1335 | saldo=50 | origem=substituto
56427;PELICA PU 1.0 (V O/I 2014);;15745;PRETO 01;;3,0;Mini Fabrica - 9 | Mini Fabrica - 19 | Mini Fabrica - 50;60,0019;Mini Fabrica - 9: deve=-6.2766 | saldo=53 | origem=substituto || Mini Fabrica - 19: deve=-26.8261 | saldo=53 | origem=substituto || Mini Fabrica - 50: deve=-26.89925 | saldo=53 | origem=substituto
56427;PELICA PU 1.0 (V O/I 2014);;29452;BEGE 435;;2,0;Mini Fabrica - 9 | Mini Fabrica - 50;3,1264;Mini Fabrica - 9: deve=-2.1264 | saldo=18 | origem=substituto || Mini Fabrica - 50: deve=-0.1042 | saldo=18 | origem=substituto
56577;FORRO MILANO PU 0.7(B O/I 2014);;29452;BEGE 435;;3,0;Mini Fabrica - 9 | Mini Fabrica - 19 | Mini Fabrica - 50;78,8103;Mini Fabrica - 9: deve=-25.7126 | saldo=300 | origem=substituto || Mini Fabrica - 19: deve=-4.368 | saldo=300 | origem=substituto || Mini Fabrica - 50: deve=-48.7297 | saldo=300 | origem=substituto
56577;FORRO MILANO PU 0.7(B O/I 2014);;35312;BRANCO OFF;;5,0;Mini Fabrica - 9 | Mini Fabrica - 19 | Mini Fabrica - 26 | Mini Fabrica - 40 | Mini Fabrica - 50;37,1948;Mini Fabrica - 9: deve=-14.33743 | saldo=26.00000 | origem=nacional || Mini Fabrica - 19: deve=-0.7628 | saldo=26.00000 | origem=nacional || Mini Fabrica - 26: deve=-3.3119 | saldo=26.00000 | origem=nacional || Mini Fabrica - 40: deve=-5.77 | saldo=26.00000 | origem=nacional || Mini Fabrica - 50: deve=-12.7755 | saldo=26.00000 | origem=nacional
56577;FORRO MILANO PU 0.7(B O/I 2014);;95373;CAMEL 1165;;4,0;Mini Fabrica - 9 | Mini Fabrica - 19 | Mini Fabrica - 40 | Mini Fabrica - 50;57,5539;Mini Fabrica - 9: deve=-9.476 | saldo=60.00000 | origem=nacional || Mini Fabrica - 19: deve=-4.22494 | saldo=60.00000 | origem=nacional || Mini Fabrica - 40: deve=-16.324 | saldo=60.00000 | origem=nacional || Mini Fabrica - 50: deve=-27.529 | saldo=60.00000 | origem=nacional
56577;FORRO MILANO PU 0.7(B O/I 2014);;107610;OLIVE 1469;;3,0;Mini Fabrica - 9 | Mini Fabrica - 19 | Mini Fabrica - 40;7,044;Mini Fabrica - 9: deve=-3.32 | saldo=46.00000 | origem=nacional || Mini Fabrica - 19: deve=-2.724 | saldo=46.00000 | origem=nacional || Mini Fabrica - 40: deve=-0.8592 | saldo=46.00000 | origem=nacional
63609;FORRO MILANO PU 0.7+PX25+FILME;;50;NATURAL;;2,0;Mini Fabrica - 9 | Mini Fabrica - 19;176,3555;Mini Fabrica - 9: deve=-79.0055 | saldo=229.40000 | origem=nacional || Mini Fabrica - 19: deve=-97.35 | saldo=229.40000 | origem=nacional
67244;NAPA TURIM PU 1.0 (B P/V 15/16);;107613;TERRACOTA;;3,0;Mini Fabrica - 9 | Mini Fabrica - 19 | Mini Fabrica - 20;23,0372;Mini Fabrica - 9: deve=-0.65142 | saldo=26.00000 | origem=nacional || Mini Fabrica - 19: deve=-16.03716 | saldo=26.00000 | origem=nacional || Mini Fabrica - 20: deve=-6.0 | saldo=26.00000 | origem=nacional
67345;NAPA TURIM PU 1.0 + SARJA 7030/40;;35324;BRANCO OFF;;2,0;Mini Fabrica - 9 | Mini Fabrica - 26;16,0016;Mini Fabrica - 9: deve=-12.1376 | saldo=94.30000 | origem=nacional || Mini Fabrica - 26: deve=-3.864 | saldo=94.30000 | origem=nacional
67345;NAPA TURIM PU 1.0 + SARJA 7030/40;;105897;OSTRA 1431/C;;3,0;Mini Fabrica - 9 | Mini Fabrica - 19 | Mini Fabrica - 26;15,0515;Mini Fabrica - 9: deve=-6.2811 | saldo=47.80000 | origem=nacional || Mini Fabrica - 19: deve=-2.1696 | saldo=47.80000 | origem=nacional || Mini Fabrica - 26: deve=-6.6008 | saldo=47.80000 | origem=nacional
73034;NAPA TURIM PU 1.0 (B P/V 15/16)+BAS;;96142;CAMEL 1165/BIS;;3,0;Mini Fabrica - 9 | Mini Fabrica - 24 | Mini Fabrica - 26;77,9358;Mini Fabrica - 9: deve=-26.1326 | saldo=58.50000 | origem=nacional || Mini Fabrica - 24: deve=-19.872 | saldo=58.50000 | origem=nacional || Mini Fabrica - 26: deve=-31.9312 | saldo=58.50000 | origem=nacional
73034;NAPA TURIM PU 1.0 (B P/V 15/16)+BAS;;107768;TERRACOTA;;2,0;Mini Fabrica - 9 | Mini Fabrica - 30;2,0;Mini Fabrica - 9: deve=-0.706 | saldo=8.00000 | origem=nacional || Mini Fabrica - 30: deve=-0.9832 | saldo=8.00000 | origem=nacional
76853;METAL GLAMOUR PU 0.9 (V P/V 16/17);;41;PRATA;;3,0;Mini Fabrica - 9 | Mini Fabrica - 19 | Mini Fabrica - 40;9,1824;Mini Fabrica - 9: deve=-1.37386 | saldo=90 | origem=substituto || Mini Fabrica - 19: deve=-3.5125 | saldo=90 | origem=substituto || Mini Fabrica - 40: deve=-4.296 | saldo=90 | origem=substituto
94157;NAPA TURIM PU 1.0+VELVET;;15787;PRETO 01/PRET;;2,0;Mini Fabrica - 9 | Mini Fabrica - 40;62,1115;Mini Fabrica - 9: deve=-12.9267 | saldo=163.60000 | origem=nacional || Mini Fabrica - 40: deve=-49.1848 | saldo=163.60000 | origem=nacional
94157;NAPA TURIM PU 1.0+VELVET;;95701;CAMEL 1165/CR;;3,0;Mini Fabrica - 9 | Mini Fabrica - 30 | Mini Fabrica - 43;38,9572;Mini Fabrica - 9: deve=-20.4044 | saldo=16.70000 | origem=nacional || Mini Fabrica - 30: deve=-12.2402 | saldo=16.70000 | origem=nacional || Mini Fabrica - 43: deve=-6.3126 | saldo=16.70000 | origem=nacional
143760;METALIZADO LONDON PU 0.9+BASE;;15787;PRETO 01/PRET;;2,0;Mini Fabrica - 9 | Mini Fabrica - 26;2,0;Mini Fabrica - 9: deve=-0.0856 | saldo=12.30000 | origem=nacional || Mini Fabrica - 26: deve=-0.672 | saldo=12.30000 | origem=nacional
168873;NAPA CALF PU 0.9 ( P/V 24/25);;15745;PRETO 01;;3,0;Mini Fabrica - 9 | Mini Fabrica - 40 | Mini Fabrica - 50;206,5701;Mini Fabrica - 9: deve=-110.314 | saldo=239 | origem=substituto || Mini Fabrica - 40: deve=-13.95224 | saldo=239 | origem=substituto || Mini Fabrica - 50: deve=-82.3039 | saldo=239 | origem=substituto
168873;NAPA CALF PU 0.9 ( P/V 24/25);;102051;AREIA 1286;;2,0;Mini Fabrica - 9 | Mini Fabrica - 50;119,4515;Mini Fabrica - 9: deve=-100.4344 | saldo=188 | origem=substituto || Mini Fabrica - 50: deve=-19.0171 | saldo=188 | origem=substituto
192801;BRILHO ITALIA PU 0.9 (P/V 25/26);;23146;OURO ROSADO;;4,0;Mini Fabrica - 9 | Mini Fabrica - 19 | Mini Fabrica - 40 | Mini Fabrica - 50;88,8596;Mini Fabrica - 9: deve=-43.4036 | saldo=83 | origem=substituto || Mini Fabrica - 19: deve=-1.46508 | saldo=83 | origem=substituto || Mini Fabrica - 40: deve=-19.66 | saldo=83 | origem=substituto || Mini Fabrica - 50: deve=-24.33096 | saldo=83 | origem=substituto
196770;NAPA ONCA GRECIA PU 0.9 (B P/V 24;;96942;MULTI CAMEL;;4,0;Mini Fabrica - 9 | Mini Fabrica - 19 | Mini Fabrica - 40 | Mini Fabrica - 50;15,0211;Mini Fabrica - 9: deve=-7.3855 | saldo=42.00000 | origem=nacional || Mini Fabrica - 19: deve=-1.0 | saldo=42.00000 | origem=nacional || Mini Fabrica - 40: deve=-0.648 | saldo=42.00000 | origem=nacional || Mini Fabrica - 50: deve=-5.6356 | saldo=42.00000 | origem=nacional
23124;TERMOPONTO P345/11 - 120;;3;PRETO;;2,0;Mini Fabrica - 19 | Mini Fabrica - 40;28,6256;Mini Fabrica - 19: deve=-21.04 | saldo=113.00000 | origem=nacional || Mini Fabrica - 40: deve=-7.5856 | saldo=113.00000 | origem=nacional
56577;FORRO MILANO PU 0.7(B O/I 2014);;50;NATURAL;;4,0;Mini Fabrica - 19 | Mini Fabrica - 38 | Mini Fabrica - 40 | Mini Fabrica - 50;120,2391;Mini Fabrica - 19: deve=-107.84868 | saldo=405.7 | origem=substituto || Mini Fabrica - 38: deve=-2.232 | saldo=405.7 | origem=substituto || Mini Fabrica - 40: deve=-5.6028 | saldo=405.7 | origem=substituto || Mini Fabrica - 50: deve=-4.55559 | saldo=405.7 | origem=substituto
56577;FORRO MILANO PU 0.7(B O/I 2014);;101321;CHOCOLATE;;3,0;Mini Fabrica - 19 | Mini Fabrica - 40 | Mini Fabrica - 50;45,57;Mini Fabrica - 19: deve=-18.4588 | saldo=50.00000 | origem=nacional || Mini Fabrica - 40: deve=-12.7556 | saldo=50.00000 | origem=nacional || Mini Fabrica - 50: deve=-14.3556 | saldo=50.00000 | origem=nacional
58623;FORRO MILANO PU 0.7(B O/I 2014)+FIL;;15745;PRETO 01;;2,0;Mini Fabrica - 19 | Mini Fabrica - 38;15,3964;Mini Fabrica - 19: deve=-4.6268 | saldo=24.00000 | origem=nacional || Mini Fabrica - 38: deve=-10.7696 | saldo=24.00000 | origem=nacional
64664;FORRO FACHETE PVC 0.8 (B O/I 2015);;15745;PRETO 01;;2,0;Mini Fabrica - 19 | Mini Fabrica - 30;68,392;Mini Fabrica - 19: deve=-24.9284 | saldo=21.00000 | origem=nacional || Mini Fabrica - 30: deve=-43.4636 | saldo=21.00000 | origem=nacional
67244;NAPA TURIM PU 1.0 (B P/V 15/16);;83517;CREME 985;;2,0;Mini Fabrica - 19 | Mini Fabrica - 30;50,3567;Mini Fabrica - 19: deve=-44.96502 | saldo=312 | origem=substituto || Mini Fabrica - 30: deve=-5.39172 | saldo=312 | origem=substituto
67244;NAPA TURIM PU 1.0 (B P/V 15/16);;89673;TAN 1080;;2,0;Mini Fabrica - 19 | Mini Fabrica - 50;41,1051;Mini Fabrica - 19: deve=-37.70317 | saldo=65.00000 | origem=nacional || Mini Fabrica - 50: deve=-3.40191 | saldo=65.00000 | origem=nacional
67345;NAPA TURIM PU 1.0 + SARJA 7030/40;;15758;PRETO 01/PRET;;2,0;Mini Fabrica - 19 | Mini Fabrica - 26;105,8715;Mini Fabrica - 19: deve=-5.2332 | saldo=392.80000 | origem=nacional || Mini Fabrica - 26: deve=-100.6383 | saldo=392.80000 | origem=nacional
74934;NAPA TURIM PU 1.0 + POLINYLON 11H;;16143;PRETO 01/PRET;;2,0;Mini Fabrica - 19 | Mini Fabrica - 26;11,7294;Mini Fabrica - 19: deve=-10.1782 | saldo=2.00000 | origem=nacional || Mini Fabrica - 26: deve=-1.5512 | saldo=2.00000 | origem=nacional
74934;NAPA TURIM PU 1.0 + POLINYLON 11H;;101878;CHOCOLATE;;3,0;Mini Fabrica - 19 | Mini Fabrica - 26 | Mini Fabrica - 43;26,1604;Mini Fabrica - 19: deve=-10.3792 | saldo=19.00000 | origem=nacional || Mini Fabrica - 26: deve=-5.7912 | saldo=19.00000 | origem=nacional || Mini Fabrica - 43: deve=-9.99 | saldo=19.00000 | origem=nacional
76853;METAL GLAMOUR PU 0.9 (V P/V 16/17);;23146;OURO ROSADO;;2,0;Mini Fabrica - 19 | Mini Fabrica - 20;226,6199;Mini Fabrica - 19: deve=-219.61993 | saldo=626 | origem=substituto || Mini Fabrica - 20: deve=-7.0 | saldo=626 | origem=substituto
135523;NAPA GENEBRA PU 1.2 (B O/I 2020) -;;15745;PRETO 01;;2,0;Mini Fabrica - 19 | Mini Fabrica - 50;26,2158;Mini Fabrica - 19: deve=-19.146 | saldo=40.00000 | origem=nacional || Mini Fabrica - 50: deve=-7.0698 | saldo=40.00000 | origem=nacional
183344;NAPA GARDA PU 1.0 (V P/V 24/25);;103102;CHERRY 1335;;2,0;Mini Fabrica - 19 | Mini Fabrica - 50;6,5495;Mini Fabrica - 19: deve=-5.2155 | saldo=100.00000 | origem=nacional || Mini Fabrica - 50: deve=-1.334 | saldo=100.00000 | origem=nacional
183344;NAPA GARDA PU 1.0 (V P/V 24/25);;107613;TERRACOTA;;3,0;Mini Fabrica - 19 | Mini Fabrica - 30 | Mini Fabrica - 40;34,4278;Mini Fabrica - 19: deve=-29.93532 | saldo=67.00000 | origem=nacional || Mini Fabrica - 30: deve=-0.42692 | saldo=67.00000 | origem=nacional || Mini Fabrica - 40: deve=-3.4925 | saldo=67.00000 | origem=nacional
196814;NAPA BERLIM CROCO MILAO PU 1.2;;15758;PRETO 01/PRET;;2,0;Mini Fabrica - 19 | Mini Fabrica - 68;14,7342;Mini Fabrica - 19: deve=-1.2138 | saldo=25.00000 | origem=nacional || Mini Fabrica - 68: deve=-13.5204 | saldo=25.00000 | origem=nacional
67244;NAPA TURIM PU 1.0 (B P/V 15/16);;107610;OLIVE 1469;;3,0;Mini Fabrica - 30 | Mini Fabrica - 38 | Mini Fabrica - 50;33,367;Mini Fabrica - 30: deve=-12.46622 | saldo=26.00000 | origem=nacional || Mini Fabrica - 38: deve=-0.4788 | saldo=26.00000 | origem=nacional || Mini Fabrica - 50: deve=-19.90082 | saldo=26.00000 | origem=nacional
183344;NAPA GARDA PU 1.0 (V P/V 24/25);;15745;PRETO 01;;2,0;Mini Fabrica - 30 | Mini Fabrica - 50;14,8549;Mini Fabrica - 30: deve=-10.06426 | saldo=47 | origem=substituto || Mini Fabrica - 50: deve=-4.7906 | saldo=47 | origem=substituto
183344;NAPA GARDA PU 1.0 (V P/V 24/25);;95373;CAMEL 1165;;3,0;Mini Fabrica - 30 | Mini Fabrica - 38 | Mini Fabrica - 50;23,2611;Mini Fabrica - 30: deve=-4.92634 | saldo=25.00000 | origem=nacional || Mini Fabrica - 38: deve=-5.7195 | saldo=25.00000 | origem=nacional || Mini Fabrica - 50: deve=-12.6153 | saldo=25.00000 | origem=nacional
195432;NAPA LEZARD GRECIA PU 0.9 (B P/V;;95373;CAMEL 1165;;2,0;Mini Fabrica - 30 | Mini Fabrica - 50;14,9652;Mini Fabrica - 30: deve=-10.89 | saldo=35.00000 | origem=nacional || Mini Fabrica - 50: deve=-4.0752 | saldo=35.00000 | origem=nacional
183344;NAPA GARDA PU 1.0 (V P/V 24/25);;107610;OLIVE 1469;;2,0;Mini Fabrica - 38 | Mini Fabrica - 40;16,5447;Mini Fabrica - 38: deve=-3.98106 | saldo=41.00000 | origem=nacional || Mini Fabrica - 40: deve=-12.5636 | saldo=41.00000 | origem=nacional
168873;NAPA CALF PU 0.9 ( P/V 24/25);;35312;BRANCO OFF;;2,0;Mini Fabrica - 40 | Mini Fabrica - 50;125,3024;Mini Fabrica - 40: deve=-13.88808 | saldo=156 | origem=substituto || Mini Fabrica - 50: deve=-111.4143 | saldo=156 | origem=substituto
